id,film1,film2,film3,film4,film5,film6,film7,film8,film9,film10,film11,film12,block,dateTime
680,0,0,0,0,6,0,,,,,,,wb4,"2023-11-25 11:41:58"
681,0,0,0,0,6,0,,,,,,,wb4,"2023-11-25 11:42:04"
682,2,2,2,2,6,3,,,,,,,wb4,"2023-11-24 11:37:56"
683,0,0,0,0,6,0,,,,,,,wb4,"2023-11-25 11:41:41"
684,0,0,0,0,6,0,,,,,,,wb4,"2023-11-25 11:43:33"
685,4,4,5,6,6,4,,,,,,,wb4,"2023-11-24 11:39:38"
686,6,0,0,0,6,2,,,,,,,wb4,"2023-11-24 17:55:52"
687,0,0,0,0,6,0,,,,,,,wb4,"2023-11-25 11:42:12"
688,0,0,0,0,6,0,,,,,,,wb4,"2023-11-25 11:41:23"
689,0,0,0,0,6,0,,,,,,,wb4,"2023-11-24 11:45:31"
690,3,5,4,3,6,4,,,,,,,wb4,"2023-11-24 11:46:16"
691,1,1,1,1,6,1,,,,,,,wb4,"2023-11-24 11:46:57"
692,6,2,6,3,6,6,,,,,,,wb3,"2023-11-24 11:47:05"
693,0,0,0,0,6,0,,,,,,,wb4,"2023-11-24 11:47:16"
694,0,0,0,0,6,0,,,,,,,wb4,"2023-11-24 11:48:33"
695,0,0,0,0,6,0,,,,,,,wb4,"2023-11-24 11:50:18"
696,0,0,0,0,6,0,,,,,,,wb4,"2023-11-25 11:43:47"
697,4,5,6,5,4,5,6,,,,,,wbt,"2023-11-24 11:53:04"
698,6,0,0,0,6,0,,,,,,,wb4,"2023-11-24 11:53:22"
699,0,0,0,0,6,0,,,,,,,wb4,"2023-11-25 11:42:22"
700,3,3,4,6,6,4,,,,,,,wb4,"2023-11-24 11:54:13"
701,0,0,0,0,6,0,,,,,,,wb4,"2023-11-25 11:43:06"
702,6,4,4,3,6,4,,,,,,,wb4,"2023-11-24 11:55:49"
703,0,0,0,0,6,0,,,,,,,wb4,"2023-11-24 11:56:12"
704,0,0,0,0,6,0,,,,,,,wb4,"2023-11-24 11:57:22"
705,6,0,0,0,6,0,,,,,,,wb4,"2023-11-24 11:59:23"
706,0,0,0,0,6,5,,,,,,,wb4,"2023-11-24 11:59:33"
707,6,0,0,0,6,5,,,,,,,wb4,"2023-11-24 12:01:20"
708,0,0,0,0,6,0,,,,,,,wb4,"2023-11-24 12:02:55"
709,1,1,5,1,5,1,,,,,,,wb4,"2023-11-24 12:03:09"
710,0,0,0,0,6,0,,,,,,,wb4,"2023-11-24 12:04:55"
711,1,1,2,2,6,5,,,,,,,wb4,"2023-11-24 12:05:07"
712,0,0,0,6,6,0,,,,,,,wb4,"2023-11-24 12:10:10"
713,0,0,0,0,6,0,,,,,,,wb4,"2023-11-24 12:10:21"
714,3,6,6,4,5,6,,,,,,,wb2,"2023-11-24 12:14:05"
715,0,0,0,0,6,0,,,,,,,wb4,"2023-11-24 12:19:39"
722,5,4,6,5,1,6,,,,,,,wb2,"2023-11-24 12:32:44"
723,5,5,4,3,5,6,,,,,,,wb1,"2023-11-24 12:33:11"
734,2,6,3,2,3,2,,,,,,,wb3,"2023-11-24 12:58:10"
743,2,6,3,2,3,2,,,,,,,wb3,"2023-11-24 13:05:57"
754,1,5,5,4,6,1,,,,,,,wb3,"2023-11-24 13:54:14"
755,3,3,4,6,3,3,,,,,,,wb2,"2023-11-24 14:08:02"
